"Note: 1) 104 polymers sorted by calculated thermal conductivity; 2) All data was generated using the RadonPy Toolkit, more details can be found in the RandonPy associated literature (Y. Hayashi, J. Shiomi, J. Morikawa, R. Yoshida, npj Comput Mater 2022, 8, 1–15.). 3) If you want to use the following data, please cite the references of our work and the RandonPy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,SMILES,thermal_conductivity,TC_ke,TC_pe,TC_pair,TC_bond,TC_angle,TC_dihed,TC_improper,TC_kspace,TC_fix,density,Rg,self-diffusion,Cp,Cv,compressibility,isentropic_compressibility,bulk_modulus,isentropic_bulk_modulus,volume_expansion,linear_expansion,r2,static_dielectric_const,nematic_order_parameter,qm_polarizability,qm_polarizability_xx,qm_polarizability_yy,qm_polarizability_zz,qm_polarizability_xy,qm_polarizability_xz,qm_polarizability_yz,MW,Refractive_index
AP22,[*]Nc1ccc(C([*])=O)cc1,0.526797956,0.016838373,-0.015764216,0.079604161,0.209717791,0.148544974,0.082746424,0.005627048,-0.000516599,0,1.243909565,45.98744499,6.35E-13,2864.418059,2847.327677,3.94E-10,3.91E-10,2542188521,2557395241,-0.000166396,-5.55E-05,187.0366197,1.827607956,0.115385782,14.55701898,21.21084211,13.89931972,8.560895123,-0.356466544,-1.322708645,1.617489277,119.13,1.692803163
AP23,[*]c1ccc([*])[nH]1,0.51664688,0.030732967,0.022438007,0.052810068,0.191494125,0.098347241,0.10920718,0.000169477,0.011447815,0,1.160249732,32.2269974,1.39E-12,3138.445382,3075.830232,4.76E-10,4.66E-10,2113223622,2155283425,0.000335931,1.12E-04,36.2174916,1.088356308,0.077464175,7.791630098,9.015039816,8.7810772,5.578773278,-0.00347633,0.09978604,0.036331351,65.08,1.618107109
AP24,[*]NNC(=O)C([*])=O,0.503831948,0.015868689,0.008805443,0.096275657,0.145253671,0.165055566,0.041509752,0.014491061,0.016572109,0,1.5616296,29.97987869,1.98E-13,2586.063332,2484.980652,1.49E-10,1.43E-10,6729548517,7003285024,0.000279114,9.30E-05,54.76279406,2.6479822,0.057834128,6.983048238,8.176551092,6.461807857,6.310785765,0.097152119,-0.153275605,1.706709074,86.06,1.552234159
AP25,*c1ccc(-c2ccc(N3C(=O)c4cc5cc6c(cc5cc4C3=O)Cc3cc4cc5c(cc4cc3C6)C(=O)N(*)C5=O)cc2)cc1,0.502077678,0.005720017,-0.003056197,0.061889897,0.193622166,0.136353408,0.103475366,0.001082278,0.002990743,0,1.148825081,65.16399053,4.96E-13,2665.955793,2636.196229,3.90E-10,3.86E-10,2.57E+09,2.59E+09,0.000210219,7.01E-05,416.3102952,1.217576718,0.08347664,78.55379436,127.4586645,61.67931451,46.52340404,-0.362947929,0.757206844,-6.56834411,568.6,1.732923909
AP26,*C=CN1C(=O)c2cc3cc4c(cc3cc2C1=O)Cc1cc2cc3c(cc2cc1C4)C(=O)N(*)C3=O,0.493904726,0.005052085,-0.005677921,0.029746043,0.227892446,0.099353745,0.130085771,0.000967067,0.00648549,0,1.185299819,54.50102178,4.94E-14,2488.107109,2477.313042,3.29E-10,3.28E-10,3.04E+09,3.05E+09,0.000118362,3.95E-05,207.8890855,1.224797259,0.072197977,58.61546737,77.64212792,37.14870644,61.05556776,-9.986195045,-17.95739339,11.22043851,442.44,1.722749392
AP27,[*]NC(=O)c1ccc(C(=O)Nc2cnc([*])nc2)cc1,0.49063158,0.017173474,-0.018116681,0.089068754,0.190496947,0.137514297,0.066524179,0.005468159,0.002502451,0,1.333684106,38.02744641,3.48E-13,2948.616453,2913.632643,2.26E-10,2.23E-10,4433225306,4484830755,-0.000182308,-6.08E-05,75.56041922,1.867529828,0.083626931,26.98967388,40.84754787,14.74936119,25.3721126,1.221110375,0.065527892,0.757682408,240.24,1.680129158
AP28,*c1ccc(N2C(=O)c3cc4cc5c(cc4cc3C2=O)Cc2cc3cc4c(cc3cc2C5)C(=O)N(*)C4=O)c2cccnc12,0.484839597,0.009956525,0.003307114,0.054411586,0.199819379,0.134342332,0.08261157,0.000536093,-0.000145002,0,1.141293498,55.07336848,3.00E-14,2555.378582,2538.146532,3.72E-10,3.70E-10,2.69E+09,2.71E+09,0.000156043,5.20E-05,267.6200945,1.179938337,0.112655844,72.11896063,108.3984189,47.82113133,60.13733166,-7.232958403,-2.213034579,1.354205996,543.55,1.689453935
AP29,[*]Nc1ccc(NC(=O)C=CC([*])=O)cc1,0.478692774,0.028202971,-0.114022357,0.083652406,0.212356685,0.171128942,0.088931946,0.002946852,0.005495328,0,1.237497121,45.0088947,3.79E-13,2957.841882,2831.731738,3.58E-10,3.42E-10,2852988467,2971918454,0.000424653,1.42E-04,146.7485683,1.456412951,0.041655696,23.14392693,36.96830196,19.25856296,13.20491586,-1.787478095,2.122807882,2.998153198,188.2,1.693877451
AP30,[*]c1ccc(-c2nc3cc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)ccc3[nH]2)cc1,0.471917368,0.004447791,-0.004837438,0.055870743,0.166796781,0.152053287,0.091074896,0.001041297,0.005470011,0,1.27839542,52.39961135,8.20E-13,2738.365966,2609.82939,3.69E-10,3.51E-10,2715669384,2849429931,0.000448135,1.49E-04,178.2622462,1.331059283,0.156093312,49.00198662,77.38874175,29.30205623,40.31516188,-3.06016084,2.451069127,7.614812789,406.37,1.70554507
AP31,[*]CNC(=O)N[*],0.469595975,0.053807541,-0.238816572,0.266892342,0.118816751,0.227074285,0.005631085,0.006737694,0.029452849,0,1.43581596,20.95943629,5.86E-13,3596.914959,3355.811335,2.63E-10,2.45E-10,3878585131,4128383666,-0.000530181,-1.77E-04,26.65351854,3.685188187,0.02061883,6.790866104,8.015603327,5.738003869,6.618991118,0.045645143,0.086776645,0.885814009,72.08,1.598108078
